Title,Content,URL,Date,Location
"Deadly explosion shakes Iran, hundreds hospitalised after port fire",Massive blaze at southern Iran’s Shahid Rajaei Port linked to chemical storage depot sparks devastation and chaos.,https://www.aljazeera.com/gallery/2025/4/27/deadly-explosion-shakes-iran-hundreds-hospitalised-after-port-fire,27-Apr-25,
Week in Pictures: From Pope Francis funeral to ‘massive’ blast in Iran,A roundup of some of last week’s major events.,https://www.aljazeera.com/gallery/2025/4/27/week-in-pictures-from-pope-francis-funeral-to-a-huge-blast-in-iran,27-Apr-25,
Israel bombards Gaza; UN official warns of ‘full-scale famine conditions’,Deadly Israeli attacks continue in Gaza as thousands protest the war in Israel’s capital.,https://www.aljazeera.com/news/liveblog/2025/4/27/live-israeli-forces-kill-40-in-gaza-hamas-team-in-cairo-for-truce-talks,27-Apr-25,
Palestinian President Mahmoud Abbas appoints aide as PLO deputy,Hussein al-Sheikh is a veteran leader of Abbas’s Fatah movement.,https://www.aljazeera.com/news/2025/4/26/palestinian-president-mahmoud-abbas-appoints-aide-as-plo-deputy,26-Apr-25,
"Thirteen killed, dozens under rubble as Israel bombs Gaza amid food crisis","Entire Strip, with a population of two million people, may be on the brink of famine as WFP runs out of supplies.",https://www.aljazeera.com/news/2025/4/26/13-killed-dozens-under-rubble-as-israel-bombs-gaza-amid-food-crisis,26-Apr-25,
USAID and the pacification industry in Palestine,"Like other forms of US assistance, USAID was all about normalising the colonisation of Palestine.",https://www.aljazeera.com/opinions/2025/4/26/usaid-and-the-pacification-industry-in-palestine,26-Apr-25,
Iran ‘extremely cautious’ about success of nuclear talks with the US,US and Iranian officials say nuclear talks will resume next week after third round of indirect discussions in Oman.,https://www.aljazeera.com/news/2025/4/26/iran-us-resume-talks-in-oman-to-hammer-out-deal-on-nuclear-programme,26-Apr-25,
Death toll in suspected chemical blast at key Iran port rises to 25,The huge explosion and subsequent blaze at Bandar Abbas port has also left more than 750 people wounded.,https://www.aljazeera.com/news/2025/4/26/massive-explosion-fire-strike-iranian-port-city-of-bandar-abbas,26-Apr-25,
"Pope Francis funeral updates: Leaders, mourners bid farewell to pontiff","These were the updates about Pope Francis’s funeral on April 26, 2025.",https://www.aljazeera.com/news/liveblog/2025/4/26/pope-francis-funeral-live-world-leaders-mourners-to-give-final-farewell,26-Apr-25,
Updates: Israel inflicts ‘man-made starvation’ on Gaza as attacks kill 45,"These are the updates on Israel’s war on Gaza and attacks on the occupied West Bank for Saturday, April 26.",https://www.aljazeera.com/news/liveblog/2025/4/26/live-israel-inflicts-manmade-starvation-on-gaza-as-new-attacks-kill-45,26-Apr-25,
More than 480 civilians killed in Sudan’s North Darfur over two weeks: UN,"The UN human rights office also reported rampant sexual violence in the region, including against young boys and girls.",https://www.aljazeera.com/news/2025/4/25/more-than-480-civilians-killed-in-north-darfur-attacks-over-two-weeks-un,25-Apr-25,
‘This is one minute to midnight’: British MP visits occupied West Bank,British MP Shockat Adam travelled to the occupied West Bank to see Israel’s treatment of Palestinians.,https://www.aljazeera.com/video/newsfeed/2025/4/25/this-is-one-minute-to-midnight-british-mp-visits-occupied-west-bank,25-Apr-25,
UN says its food stocks in Gaza completely ‘depleted’ amid Israeli blockade,"More than 400,000 people who rely on UN-supplied meals will be affected, WFP warns.",https://www.aljazeera.com/news/2025/4/25/uns-food-stocks-in-gaza-completely-depleted-amid-israel-blockade,25-Apr-25,
What to expect as Iran and US head for more nuclear talks in Oman,The expert-level technical talks could determine the specifics of nuclear and sanctions commitments by the two sides.,https://www.aljazeera.com/news/2025/4/25/what-to-expect-as-iran-and-us-head-for-more-nuclear-talks-in-oman,25-Apr-25,
Syria’s new three-starred flag raised at UN,Syrian Foreign Minister Asaad al-Shibani raised the country’s new three-starred flag at the United Nations headquarters.,https://www.aljazeera.com/program/newsfeed/2025/4/25/syrias-new-three-starred-flag-raised-at-un,25-Apr-25,
Iran to sign $4bn oilfields deal with Russia in bid to bolster ties,"Seven Iranian oilfields will be developed in cooperation with Russian firms, according to Iran’s oil minister.",https://www.aljazeera.com/economy/2025/4/25/iran-to-sign-4bn-oil-deal-with,25-Apr-25,
Israeli forces erect metal gates cutting off Jenin refugee camp,Israeli forces in the occupied West Bank have installed metal gates cutting off the Jenin refugee camp.,https://www.aljazeera.com/video/newsfeed/2025/4/25/israeli-forces-erect-metal-gates-cutting-off-jenin-refugee-camp,25-Apr-25,
US-Iran nuclear talks explained | Start Here,"Trump, Iran and everything you need to know about the nuclear talks.",https://www.aljazeera.com/program/start-here/2025/4/25/us-iran-nuclear-talks-explained-start-here,25-Apr-25,
Why the Palestinian Authority’s Abbas is under pressure to pick a successor,Concern is growing within the Palestinian Liberation Organization that Israel might exploit Abbas’s departure.,https://www.aljazeera.com/news/2025/4/25/why-the-palestinian-authoritys-abbas-is-under-pressure-to-pick-a-successor,25-Apr-25,
Yemen’s Houthi fighters down $200m worth of US drones in under six weeks,US loses drones in Yemen as rising civilian toll fuels backlash over Trump’s air campaign.,https://www.aljazeera.com/news/2025/4/25/houthi-fighters-down-200m-worth-of-us-drones-in-under-six-weeks,25-Apr-25,
US to offer Saudi Arabia $100bn weapons deal as Trump visit planned: Report,The deal could be announced during US President Donald Trump’s planned trip to the Middle East next month.,https://www.aljazeera.com/news/2025/4/25/us-to-offer-saudi-arabia-100bn-weapons-deal-as-trump-visit-planned-report,25-Apr-25,
Updates: UN runs out of food aid in Gaza amid Israel’s total blockade,"These were the updates on Israel’s war on Gaza and attacks on the occupied West Bank for Friday, April 25.",https://www.aljazeera.com/news/liveblog/2025/4/25/live-israeli-strikes-kill-over-60-in-gaza-as-entire-families-targeted,25-Apr-25,
